# Time Tags
# 2025-05-20 17:58:47
# Unit Time Tag: 80.955ps
# Unit Channel: 1
# Time Tag ; Channel
      43465876420903 ;                    2
      43465878571889 ;                    2
      43465880586243 ;                    2
      43465881238904 ;                    1
      43465881264576 ;                    2
      43465882790686 ;                    2
      43465883827085 ;                    1
      43465884653020 ;                    2
      43465886882496 ;                    2
      43465887915926 ;                    1
      43465889200074 ;                    2
      43465890344653 ;                    1
      43465891806313 ;                    1
      43465892463555 ;                    2
      43465892807306 ;                    1
      43465892924952 ;                    1
      43465894329340 ;                    2
      43465894748247 ;                    2
      43465894959773 ;                    1
      43465895056287 ;                    2
      43465895186517 ;                    2
      43465895596759 ;                    1
      43465895920533 ;                    2
      43465896848591 ;                    1
      43465898276013 ;                    2
      43465899435555 ;                    2
      43465900995111 ;                    2
      43465902585479 ;                    2
      43465902585490 ;                    1
      43465905189565 ;                    2
      43465906765114 ;                    2
      43465907463860 ;                    1
      43465908036800 ;                    2
      43465908202607 ;                    1
      43465908364340 ;                    2
      43465908821987 ;                    2
      43465909225419 ;                    1
      43465909819537 ;                    1
      43465910954367 ;                    2
      43465911398210 ;                    1
      43465912214123 ;                    2
      43465912655724 ;                    1
      43465913610903 ;                    2
      43465914008909 ;                    2
      43465914301480 ;                    1
      43465914956393 ;                    2
      43465915807116 ;                    2
      43465915909801 ;                    1
      43465917349620 ;                    1
      43465919887840 ;                    2
      43465920579150 ;                    2
      43465920768103 ;                    2
      43465922946136 ;                    1
      43465925253381 ;                    2
      43465925429281 ;                    1
      43465926654640 ;                    2
      43465926941619 ;                    2
      43465927083431 ;                    2
      43465927200374 ;                    1
      43465929776343 ;                    1
      43465929933869 ;                    2
      43465930566434 ;                    1
      43465930923269 ;                    1
      43465931394984 ;                    1
      43465931629831 ;                    2
      43465932411040 ;                    2
      43465932452100 ;                    2
      43465934024821 ;                    1
      43465936474516 ;                    1
      43465937049073 ;                    2
      43465939397466 ;                    2
      43465939826654 ;                    2
      43465941901462 ;                    2
      43465943181646 ;                    1
      43465944670211 ;                    1
      43465944682597 ;                    2
      43465944860682 ;                    2
      43465945241759 ;                    2
      43465945339607 ;                    2
      43465945650475 ;                    2
      43465945771798 ;                    2
      43465946349859 ;                    1
      43465947234257 ;                    2
      43465947723971 ;                    2
      43465947856466 ;                    2
      43465948273536 ;                    2
      43465948385007 ;                    2
      43465949280653 ;                    2
      43465949878087 ;                    1
      43465950927347 ;                    1
      43465951782842 ;                    1
      43465951838811 ;                    2
      43465952508797 ;                    2
      43465953218529 ;                    1
      43465953670643 ;                    1
      43465955355248 ;                    2
      43465955962617 ;                    2
      43465956449736 ;                    2
      43465958604172 ;                    2
      43465958856487 ;                    1
      43465959263582 ;                    2
      43465960131282 ;                    1
      43465961853479 ;                    1
      43465963490055 ;                    1
      43465963600898 ;                    2
      43465964322191 ;                    2
      43465964986112 ;                    2
      43465965176323 ;                    1
      43465965531054 ;                    1
      43465966436047 ;                    1
      43465967077485 ;                    2
      43465968535002 ;                    1
      43465968651109 ;                    1
      43465969334258 ;                    2
      43465969541348 ;                    2
      43465969784015 ;                    2
      43465970900194 ;                    1
      43465970996319 ;                    2
      43465971184817 ;                    2
      43465971513460 ;                    2
      43465971756822 ;                    2
      43465972050705 ;                    2
      43465972776183 ;                    1
      43465972788816 ;                    2
      43465972860738 ;                    2
      43465973091072 ;                    2
      43465973222816 ;                    2
      43465973765401 ;                    2
      43465973880904 ;                    1
      43465975026620 ;                    2
      43465975173137 ;                    2
      43465975402105 ;                    2
      43465976562147 ;                    1
      43465976774127 ;                    1
      43465977090240 ;                    1
      43465977912133 ;                    1
      43465978103845 ;                    1
      43465980046971 ;                    1
      43465980090069 ;                    2
      43465980367225 ;                    2
      43465981762827 ;                    1
      43465982432369 ;                    2
      43465982617670 ;                    1
      43465982742764 ;                    1
      43465982776914 ;                    2
      43465983111612 ;                    1
      43465984120557 ;                    2
      43465984127811 ;                    2
      43465986115239 ;                    1
      43465987015851 ;                    1
      43465988734144 ;                    1
      43465988795850 ;                    1
      43465991522557 ;                    1
      43465991532510 ;                    2
      43465991672717 ;                    2
      43465991897788 ;                    1
      43465991931493 ;                    1
      43465992180102 ;                    1
      43465992486146 ;                    2
      43465992616090 ;                    1
      43465993042826 ;                    2
      43465994870875 ;                    2
      43465995342530 ;                    1
      43465995342944 ;                    1
      43465997079047 ;                    2
      43466000301522 ;                    2
      43466000435877 ;                    2
      43466000957868 ;                    1
      43466001911428 ;                    2
      43466001989205 ;                    2
      43466002024501 ;                    1
      43466002344410 ;                    1
      43466002370090 ;                    2
      43466003350767 ;                    1
      43466003845532 ;                    1
      43466004659753 ;                    2
      43466004890288 ;                    2
      43466008898288 ;                    1
      43466009066811 ;                    2
      43466010500901 ;                    1
      43466011495279 ;                    2
      43466011687210 ;                    1
      43466012622742 ;                    1
      43466013165706 ;                    2
      43466013436641 ;                    1
      43466014216277 ;                    2
      43466014389381 ;                    1
      43466015115619 ;                    1
      43466015786220 ;                    2
      43466016825988 ;                    1
      43466017420811 ;                    2
      43466019462197 ;                    1
      43466019467818 ;                    1
      43466019827300 ;                    2
      43466020116418 ;                    2
      43466020116423 ;                    1
      43466020212167 ;                    1
      43466020531813 ;                    2
      43466021137378 ;                    2
      43466021742319 ;                    1
      43466022992762 ;                    1
      43466023880806 ;                    2
      43466024501891 ;                    2
      43466024502296 ;                    2
      43466024956799 ;                    1
      43466026089606 ;                    1
      43466026664152 ;                    2
      43466026835264 ;                    2
      43466028221838 ;                    2
      43466029070781 ;                    1
      43466033429771 ;                    2
      43466035619182 ;                    2
      43466036149606 ;                    2
      43466036798867 ;                    1
      43466037223856 ;                    2
      43466037780685 ;                    2
      43466038239925 ;                    2
      43466039937229 ;                    2
      43466040602447 ;                    1
      43466041633434 ;                    2
      43466041634347 ;                    2
      43466041751259 ;                    2
      43466042046071 ;                    2
      43466042151083 ;                    2
      43466042504288 ;                    2
      43466043470612 ;                    1
      43466044271393 ;                    2
      43466044384217 ;                    2
      43466044384230 ;                    1
      43466044600828 ;                    1
      43466044828749 ;                    1
      43466045455971 ;                    2
      43466045603182 ;                    1
      43466047234436 ;                    2
      43466047267014 ;                    2
      43466047484578 ;                    1
      43466048390177 ;                    1
      43466050086254 ;                    1
      43466050310860 ;                    2
      43466050336883 ;                    1
      43466050473060 ;                    2
      43466051259553 ;                    1
      43466051967943 ;                    2
      43466052556363 ;                    2
      43466054228594 ;                    1
      43466054353997 ;                    1
      43466055282598 ;                    2
      43466056139909 ;                    1
      43466057432847 ;                    2
      43466057998747 ;                    2
      43466059335185 ;                    2
      43466059416927 ;                    2
      43466060309896 ;                    1
      43466060809667 ;                    2
      43466060850610 ;                    2
      43466062128103 ;                    1
      43466062746110 ;                    2
      43466063021178 ;                    1
      43466064672405 ;                    2
      43466064672411 ;                    1
      43466065209488 ;                    1
      43466065614077 ;                    1
      43466067227717 ;                    2
      43466068015649 ;                    2
      43466068382581 ;                    2
      43466069247634 ;                    2
      43466069558084 ;                    1
      43466069734981 ;                    2
      43466070658208 ;                    2
      43466070779122 ;                    2
      43466071182615 ;                    1
      43466071462372 ;                    2
      43466071922936 ;                    2
      43466072185681 ;                    1
      43466072874053 ;                    2
      43466072874058 ;                    1
      43466073514158 ;                    1
      43466073514694 ;                    1
      43466074494897 ;                    1
      43466075092769 ;                    2
      43466075093792 ;                    2
      43466075672805 ;                    2
      43466077383098 ;                    1
      43466078435862 ;                    1
      43466078705665 ;                    1
      43466079152084 ;                    1
      43466079173157 ;                    2
      43466081965326 ;                    1
      43466084499443 ;                    1
      43466086234508 ;                    2
      43466087835431 ;                    2
      43466090515496 ;                    1
      43466091044276 ;                    2
      43466091410999 ;                    1
      43466091671850 ;                    1
      43466093377157 ;                    1
      43466094265824 ;                    2
      43466094394133 ;                    1
      43466094654892 ;                    1
      43466095751147 ;                    1
      43466095831711 ;                    2
      43466096178059 ;                    2
      43466097112988 ;                    2
      43466098893750 ;                    2
      43466098900242 ;                    2
      43466099223086 ;                    1
      43466101020691 ;                    2
      43466101038701 ;                    1
      43466101120436 ;                    2
      43466102020498 ;                    1
      43466102986296 ;                    2
      43466103932022 ;                    2
      43466104352585 ;                    2
      43466104378811 ;                    2
      43466104631263 ;                    2
      43466104672186 ;                    2
      43466106280361 ;                    1
      43466106508381 ;                    1
      43466107097285 ;                    1
      43466108132211 ;                    1
      43466108153787 ;                    1
      43466108818063 ;                    1
      43466109093750 ;                    2
      43466109221074 ;                    2
      43466110230746 ;                    1
      43466113070164 ;                    2
      43466113100258 ;                    2
      43466113232077 ;                    2
      43466115387047 ;                    1
      43466116000086 ;                    2
      43466116109079 ;                    1
      43466116481827 ;                    2
      43466116532239 ;                    2
      43466117271914 ;                    1
      43466117992516 ;                    2
      43466118273298 ;                    2
      43466118526259 ;                    2
      43466118570780 ;                    2
      43466118585861 ;                    1
      43466118980370 ;                    2
      43466118983524 ;                    2
